stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,1001,"Michigan + Huron",,42.241023,-83.612350,,,,,,1
3,1002,"Michigan + River",,42.241013,-83.608362,,,,,,2
4,1004,"Michigan  + Prospect",,42.241053,-83.602525,,,,,,2
7,1009,"Emerick + Service Dr",,42.230035,-83.596928,,,,,,1
8,1011,"Service Dr + Coleman",,42.231075,-83.593534,,,,,,2
9,1012,"Service Dr. + Georgiana",,42.231106,-83.591192,,,,,,2
10,1013,"Service Dr. + Gault",,42.231144,-83.587643,,,,,,2
11,1014,"Service Dr. + Share",,42.230098,-83.583317,,,,,,1
12,1015,"Foley + Harris",,42.227047,-83.582145,,,,,,1
13,1016,"Foley + Gattegno",,42.227084,-83.578475,,,,,,1
14,1017,"Foley + Harry",,42.227938,-83.575972,,,,,,1
15,1018,"Harry + Heatherridge",,42.225043,-83.572836,,,,,,1
16,1019,"Harry + Grove",,42.221552,-83.572677,,,,,,2
17,1034,"Michigan + Grove",,42.241199,-83.604208,,,,,,1
18,1035,"Michigan + Lincoln",,42.241177,-83.607074,,,,,,2
19,1036,"Michigan + River",,42.241146,-83.609477,,,,,,1
20,1051,"Ecorse + Harris",,42.235071,-83.583592,,,,,,1
21,1052,"Ecorse + Glenwood",,42.235162,-83.587590,,,,,,1
22,1053,"Ecorse + Redwood",,42.235263,-83.590507,,,,,,1
23,1054,"Ecorse + Davis",,42.236303,-83.596638,,,,,,1
24,1067,"MacArthur + Clark",,42.261467,-83.594069,,,,,,2
25,1068,"MacArthur + Heather",,42.263862,-83.592751,,,,,,2
26,1070,"MacArthur + Deering",,42.267102,-83.588687,,,,,,2
27,1075,"Wiard + Bazley",,42.266348,-83.573723,,,,,,2
28,1097,"Chidester + Catherine",,42.235885,-83.610714,,,,,,1
30,1099,"Hamilton + Harriet",,42.233210,-83.617492,,,,,,2
31,1100,"Perry  + Harriet",,42.233049,-83.619413,,,,,,2
32,1101,"Monroe + Hawkins",,42.231172,-83.620282,,,,,,2
33,1102,"Hawkins + Jefferson",,42.229522,-83.619685,,,,,,2
34,1103,"Jefferson + First",,42.228271,-83.624520,,,,,,2
35,1104,"E - First north of Armstrong",,42.230890,-83.625731,,,,,,1
36,1106,"E - Hewitt north of Ellsworth",,42.230832,-83.644117,,,,,,1
37,1107,"E - Hewitt south of Glory",,42.233027,-83.644992,,,,,,1
38,1108,"Congress + Hewitt",,42.236047,-83.645376,,,,,,2
39,1109,"S - Congress west of Merrill",,42.236748,-83.643258,,,,,,2
40,1110,"S - Congress at Stephens",,42.237965,-83.639625,,,,,,2
41,1111,"Congress + Mansfield",,42.239269,-83.635655,,,,,,2
42,1112,"Congress + Wallace",,42.240193,-83.632795,,,,,,1
43,1113,"Congress + Oakwood",,42.240926,-83.629090,,,,,,1
44,1114,"Congress + Summit",,42.240963,-83.624401,,,,,,2
45,1115,"Dexter + Archwood",,42.287425,-83.785950,,,,,,2
46,1116,"N - Dexter east of Barber",,42.289285,-83.791108,,,,,,2
47,1117,"Dexter + Landings",,42.290350,-83.794667,,,,,,2
48,1142,"Main + Fieldcrest",,42.251416,-83.749628,,,,,,2
49,1144,"Oakbrook +  Main",,42.246316,-83.749824,,,,,,2
50,1145,"Oakbrook + Northbrook",,42.245954,-83.754272,,,,,,2
52,1147,"Eisenhower + Waymarket",,42.244618,-83.756452,,,,,,2
53,1148,"Northbrook + Eisenhower",,42.245255,-83.756388,,,,,,1
54,1150,"Blake Transit Center",,42.278399,-83.747358,,,,,,1
55,1153,"Glen + Catherine",,42.283393,-83.735561,,,,,,1
56,1154,"Fuller + Medical Center Dr",,42.286464,-83.731703,,,,,,2
57,1155,"Fuller + Maiden",,42.286433,-83.732902,,,,,,1
58,1157,"Main + Fieldcrest",,42.252238,-83.749598,,,,,,1
59,1159,"Glazier Way + UM Day Care Cent",,42.287762,-83.706865,,,,,,2
60,1160,"Glazier Way + Huron",,42.287731,-83.707022,,,,,,2
62,1164,"S - Huron east of 5th",,42.281304,-83.745536,,,,,,1
65,1169,"Michigan + Lemay",,42.247509,-83.575093,,,,,,2
70,1196,"Waters Rd. + Target drive",,42.243094,-83.769831,,,,,,1
71,1198,"S - Michigan east of Ellsworth",,42.232094,-83.635919,,,,,,2
72,1199,"Pauline + South Maple",,42.265500,-83.778695,,,,,,2
73,1200,"Plaza + Briarwood Circle",,42.242468,-83.743820,,,,,,1
74,1201,"Plaza + Briarwood Cir",,42.242646,-83.743516,,,,,,1
75,1202,"Liberty + Railroad Crossing",,42.279300,-83.751682,,,,,,2
76,1209,"Washtenaw + McKenny",,42.246155,-83.627633,,,,,,1
77,1214,"Huron  + Ingalls",,42.281340,-83.738597,,,,,,2
78,1215,"S - Huron  east of Ingalls",,42.281216,-83.738214,,,,,,1
79,1216,"Ann + Zina Pitcher",,42.282276,-83.733364,,,,,,1
80,1217,"Plymouth + Broadway",,42.291012,-83.737412,,,,,,2
81,1218,"Plymouth Brookside Apts",,42.294666,-83.732952,,,,,,1
83,1221,"Plymouth + Barton",,42.296215,-83.730820,,,,,,1
84,1222,"Plymouth + Murfin",,42.297826,-83.720812,,,,,,1
85,1223,"Plymouth + Murfin",,42.298017,-83.720924,,,,,,1
86,1224,"Hamilton + Michigan",,42.240230,-83.617555,,,,,,1
87,1225,"Hamilton St. + Catherine",,42.237237,-83.617499,,,,,,2
90,1250,"Michigan Ave. + Meadow Woods Blvd",,42.232225,-83.635955,,,,,,1
91,1276,"Jackson + Wagner Rd",,42.284921,-83.798843,,,,,,1
92,1277,"Green + Plymouth",,42.305434,-83.692941,,,,,,2
93,1278,"Green Rd. + Midwest Credit Unio",,42.308589,-83.692722,,,,,,1
94,1279,"Green + Post Office",,42.310212,-83.692772,,,,,,2
95,1280,"Green + Burbank",,42.312168,-83.692794,,,,,,2
97,1285,"Geddes + CCTC",,42.278062,-83.735280,,,,,,1
98,1294,"Jackson + Parklake",,42.284116,-83.792952,,,,,,1
99,1307,"Wagner + Dexter",,42.290743,-83.799608,,,,,,2
100,1308,"Dexter + Maple",,42.285746,-83.781121,,,,,,1
101,131,"YTC - Stop 1",,42.242316,-83.614842,,,,,,1
102,1310,"Bonisteel + Beal",,42.290234,-83.713825,,,,,,1
103,132,"YTC - Stop 5",,42.242301,-83.615670,,,,,,1
104,1326,"Huron River + LeForge",,42.254474,-83.622097,,,,,,1
108,133,"YTC - Stop 4",,42.242298,-83.615454,,,,,,1
109,1330,"Huron River + Cornell",,42.256594,-83.633670,,,,,,2
110,1331,"Huron River Dr + Leforge",,42.254574,-83.623268,,,,,,1
111,1332,"Huron River + Oakwood",,42.255868,-83.628896,,,,,,1
112,1333,"Lowell + East Circle Dr",,42.249922,-83.619145,,,,,,1
114,1340,"Huron River + Oakwood",,42.256118,-83.629655,,,,,,1
115,135,"YTC - Stop 6",,42.242308,-83.615865,,,,,,1
116,1350,"Nixon + Plymouth",,42.303746,-83.707397,,,,,,1
117,1359,"Adams + Forest",,42.248566,-83.616062,,,,,,2
119,1376,"First + Michigan",,42.236204,-83.625769,,,,,,2
120,1377,"McAuley + Huron River",,42.260131,-83.649751,,,,,,1
121,1378,"Elliott + McAuley",,42.264698,-83.657925,,,,,,2
122,138,"BTC Mall Stop 5",,42.278372,-83.747126,,,,,,1
123,1382,"Ellsworth Rd. + Stone Sch",,42.229895,-83.718865,,,,,,1
124,1384,"Elliot + St Joe Dialysis",,42.264752,-83.658017,,,,,,2
127,1391,"Main + HarborWay",,42.247806,-83.749284,,,,,,1
133,1398,"Miller + Newport Pl.",,42.288671,-83.765247,,,,,,1
134,1399,"Green + Whisperwood",,42.316578,-83.702687,,,,,,1
